	WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	OBJECTID *	Shape *	EU_CD	MS_CD	VISS_MS_CD	NAMN	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	TYPOMR_KOD	TYPOMRNAMN	TYPE_AREA_SUFFIX
0	S. Seskaröfjärden sek namn	1	2	2006-12-31		23	654100-234100	SE1	SE654100-234100	SE1	SE	23	23	108577.454	201966955.7	618.0	Polygon	SEA6409D7E-616D-414F-81BA-363DE6631B38	WA45735183	SE654100-234100	S. Seskaröfjärden sek namn	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654100-234100	2010	S. Seskaröfjärden sek namn_(65.65,23.71)	N	 	 	108577.454	23	23 - Bottenviken, yttre kustvatten	
1	Båtöfjärden	1	2	2006-12-31		22	654110-224850	SE1	SE654110-224850	SE1	SE	22	22	60805.19025	45790846.49	619.0	Polygon	SE96AEB7A4-B97E-4B7A-8AC0-2CA9E50C9983	WA41727841	SE654110-224850	Båtöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654110-224850	2010	Båtöfjärden_(65.69,22.83)	N	 	 	60805.19025	22	22 - Bottenviken, inre kustvatten	
2	Tistersöfjärden	1	2	2006-12-31		22	654200-222920	SE1	SE654200-222920	SE1	SE	22	22	22594.66892	25598650.02	622.0	Polygon	SE4EE82414-74EE-403E-AAAD-07CF21E102F2	WA21787226	SE654200-222920	Tistersöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE654200-222920	2010	Tistersöfjärden_(65.7,22.49)	N	 	 	22594.66892	22	22 - Bottenviken, inre kustvatten	
3	Fjuksöfjärden	1	2	2006-12-31		22	653900-223280	SE1	SE653900-223280	SE1	SE	22	22	44114.24039	46121769.89	616.0	Polygon	SE486B4298-E3E4-490C-A3F4-B9BF6EE06FAE	WA86369350	SE653900-223280	Fjuksöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653900-223280	2010	Fjuksöfjärden_(65.64,22.54)	N	 	 	44114.24039	22	22 - Bottenviken, inre kustvatten	
4	Hamnöfjärden	1	2	2006-12-31		22	653740-222800	SE1	SE653740-222800	SE1	SE	22	22	24283.61669	16472741.64	613.0	Polygon	SE82119F2A-5027-4A07-9836-36BA0669D79A	WA56319995	SE653740-222800	Hamnöfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653740-222800	2010	Hamnöfjärden_(65.62,22.47)	N	 	 	24283.61669	22	22 - Bottenviken, inre kustvatten	
5	Degeröfjärden	1	2	2006-12-31		22	653140-224000	SE1	SE653140-224000	SE1	SE	22	22	43091.0017	26730886.3	610.0	Polygon	SEBBB1E744-FD94-480A-9D6C-B8CB0EA44569	WA71632844	SE653140-224000	Degeröfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653140-224000	2010	Degeröfjärden_(65.52,22.66)	N	 	 	43091.0017	22	22 - Bottenviken, inre kustvatten	
6	Eknösundet	3	2	2006-12-31		12	591905-185275	SE3	SE591905-185275	SE3	SE	12n	12	15493.83605	4526127.041999999	355.0	Polygon	SE2C273790-85DB-4B50-83BC-9A4AE0C47C85	WA91169418	SE591905-185275	Eknösundet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE591905-185275	2010	Eknösundet_(59.31,18.84)	N	 	 	15493.83605	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
7	Saxskärsfjärden	1	2	2006-12-31		22	653116-224623	SE1	SE653116-224623	SE1	SE	22	22	28308.592669999998	23604007.8	609.0	Polygon	SEF5C2065A-4E92-4444-BEE7-48152F81A239	WA90387007	SE653116-224623	Saxskärsfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE653116-224623	2010	Saxskärsfjärden_(65.52,22.75)	N	 	 	28308.592669999998	22	22 - Bottenviken, inre kustvatten	
8	Bastaskärsfjärden	1	2	2006-12-31		22	652855-224000	SE1	SE652855-224000	SE1	SE	22	22	38344.554860000004	27217293.25	607.0	Polygon	SE8A3CD363-E787-468F-8EAF-BA8ECF2F1506	WA72712912	SE652855-224000	Bastaskärsfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652855-224000	2010	Bastaskärsfjärden_(65.49,22.63)	N	 	 	38344.554860000004	22	22 - Bottenviken, inre kustvatten	
9	Västantillfjärden	1	2	2006-12-31		22	652830-222116	SE1	SE652830-222116	SE1	SE	22	22	38715.76917	24005936.03	606.0	Polygon	SE2E5427F8-AC25-483C-8973-C16AB0A5F58D	WA33608717	SE652830-222116	Västantillfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652830-222116	2010	Västantillfjärden_(65.46,22.35)	N	 	 	38715.76917	22	22 - Bottenviken, inre kustvatten	
10	Sandgrönnfjärden	1	2	2006-12-31		22	652450-222116	SE1	SE652450-222116	SE1	SE	22	22	41144.833510000004	47015893.71	601.0	Polygon	SE35945E11-F397-4D82-A16E-E67CA3FE56E5	WA17146996	SE652450-222116	Sandgrönnfjärden	CW	Y	SE1	BV	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE652450-222116	2010	Sandgrönnfjärden_(65.42,22.38)	N	 	 	41144.833510000004	22	22 - Bottenviken, inre kustvatten	
11	Öregrunds kustvatten	3	2	2006-12-31		17	603870-181301	SE3	SE603870-181301	SE3	SE	17	17	395472.6058	643839192.8	441.0	Polygon	SE8A008E1E-AB3D-4C32-B9AE-C0A6382AF635	WA41656414	SE603870-181301	Öregrunds kustvatten	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE603870-181301	2010	Öregrunds kustvatten_(60.58,18.23)	N	 	 	395472.6058	17	17 - Södra Bottenhavet, yttre kustvatten	
12	Gällfjärden	3	2	2006-12-31		16	602400-183190	SE3	SE602400-183190	SE3	SE	16	16	65611.62311	26035739.83	437.0	Polygon	SE3B265D44-BE5B-4F7D-A4FC-0CCD1F218636	WA22860986	SE602400-183190	Gällfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE602400-183190	2010	Gällfjärden_(60.39,18.51)	N	 	 	65611.62311	16	16 - Södra Bottenhavet, inre kustvatten	
13	Norrfjärden	3	2	2006-12-31		16	601300-184180	SE3	SE601300-184180	SE3	SE	16	16	32790.71367	13188041.18	431.0	Polygon	SE4BB378FA-9A0D-40BE-B07A-52B81B38B726	WA50139512	SE601300-184180	Norrfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601300-184180	2010	Norrfjärden_(60.21,18.7)	N	 	 	32790.71367	16	16 - Södra Bottenhavet, inre kustvatten	
14	Havssvalget	3	2	2006-12-31		15	594845-191240	SE3	SE594845-191240	SE3	SE	15	15	40604.89912	33056831.48	415.0	Polygon	SE185149D0-3D19-471B-8CAE-23E8BE6943B5	WA99611530	SE594845-191240	Havssvalget	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594845-191240	2010	Havssvalget_(59.8,19.18)	N	 	 	40604.89912	15	15 - Stockholms skärgård, yttre kustvatten	
15	Stockholms skärgårds s n	3	2	2006-12-31		15	594000-193501	SE3	SE594000-193501	SE3	SE	15	15	53953.804189999995	64657791.3	403.0	Polygon	SE5B4ADA58-D6BD-4491-A8FB-DF910C988C19	WA27944676	SE594000-193501	Stockholms skärgårds s n	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594000-193501	2010	Stockholms skärgårds s n_(59.7,19.54)	N	 	 	53953.804189999995	15	15 - Stockholms skärgård, yttre kustvatten	
16	Uddjupet	3	2	2006-12-31		15	593760-192625	SE3	SE593760-192625	SE3	SE	15	15	71276.62224	136064330.6	398.0	Polygon	SE65E9D53F-9F40-4A07-842E-9599AC1A3C91	WA98113650	SE593760-192625	Uddjupet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593760-192625	2010	Uddjupet_(59.64,19.43)	N	 	 	71276.62224	15	15 - Stockholms skärgård, yttre kustvatten	
17	Gräsköfjärden	3	2	2006-12-31		12	594000-190500	SE3	SE594000-190500	SE3	SE	12n	12	61536.050189999994	51971656.3	402.0	Polygon	SE04C56951-7435-41E5-8541-E48EB4C9A2A8	WA34139141	SE594000-190500	Gräsköfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE594000-190500	2010	Gräsköfjärden_(59.68,19.11)	N	 	 	61536.050189999994	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
18	Nåtfjärden	3	2	2006-12-31		15	593860-192000	SE3	SE593860-192000	SE3	SE	15	15	51561.55192	28128743.11	400.0	Polygon	SE773815D7-B674-45FA-9644-7C01AEE92C51	WA90347967	SE593860-192000	Nåtfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593860-192000	2010	Nåtfjärden_(59.64,19.33)	N	 	 	51561.55192	15	15 - Stockholms skärgård, yttre kustvatten	
19	Blidösund	3	2	2006-12-31		12	593820-185500	SE3	SE593820-185500	SE3	SE	12n	12	33899.38652	5946411.917	399.0	Polygon	SE655FD282-9C88-4186-A9E2-EC301ADE5D79	WA13547710	SE593820-185500	Blidösund	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593820-185500	2010	Blidösund_(59.63,18.89)	N	 	 	33899.38652	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
20	Stenfjärden	3	2	2006-12-31		15	593500-193255	SE3	SE593500-193255	SE3	SE	15	15	54990.93436	66584388.43	395.0	Polygon	SE6098EEE7-7F0C-4D1D-9791-3B0AB84CB9AB	WA55744608	SE593500-193255	Stenfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593500-193255	2010	Stenfjärden_(59.59,19.52)	N	 	 	54990.93437	15	15 - Stockholms skärgård, yttre kustvatten	
21	Stockholms skärgårds m kustvatten	3	2	2006-12-31		15	592100-192001	SE3	SE592100-192001	SE3	SE	15	15	302916.7686	505426030.4	362.0	Polygon	SEA857C7F8-4CA0-4715-8ECE-B534EFD447B9	WA64348924	SE592100-192001	Stockholms skärgårds m kustvatten	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592100-192001	2010	Stockholms skärgårds m kustvatten_(59.24,19.07)	N	 	 	302916.7686	15	15 - Stockholms skärgård, yttre kustvatten	
22	Nö Kobbfjärden sek namn	3	2	2006-12-31		15	593500-191660	SE3	SE593500-191660	SE3	SE	15	15	74012.72137999999	58974427.47	394.0	Polygon	SEF0D0A71C-4925-4BEC-89D2-41BC112AF3EC	WA80213418	SE593500-191660	Nö Kobbfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593500-191660	2010	Nö Kobbfjärden sek namn_(59.57,19.25)	N	 	 	74012.72137999999	15	15 - Stockholms skärgård, yttre kustvatten	
23	Lökharfjärden	3	2	2006-12-31		15	593330-192540	SE3	SE593330-192540	SE3	SE	15	15	43359.4868	42168710.33	391.0	Polygon	SEB8CB8F00-2303-4005-ACCF-93834AD8F704	WA55308185	SE593330-192540	Lökharfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593330-192540	2010	Lökharfjärden_(59.55,19.39)	N	 	 	43359.4868	15	15 - Stockholms skärgård, yttre kustvatten	
24	Skatfjärden	3	2	2006-12-31		12	593460-184890	SE3	SE593460-184890	SE3	SE	12n	12	95745.60201	26424452.7	392.0	Polygon	SE11DE26EB-2CCD-4163-82E9-167FA5839512	WA54541051	SE593460-184890	Skatfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593460-184890	2010	Skatfjärden_(59.55,18.8)	N	 	 	95745.60201	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
25	Kobbfjärden	3	2	2006-12-31		15	593180-191280	SE3	SE593180-191280	SE3	SE	15	15	38543.32344	44102630.58	389.0	Polygon	SEA72318E4-E32A-4057-94F4-C07C84AB048D	WA73695003	SE593180-191280	Kobbfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593180-191280	2010	Kobbfjärden_(59.54,19.18)	N	 	 	38543.32344	15	15 - Stockholms skärgård, yttre kustvatten	
26	Högfjärden	3	2	2006-12-31		15	593000-193000	SE3	SE593000-193000	SE3	SE	15	15	86921.98014	146720372.4	387.0	Polygon	SEF6E8E519-4EBD-4F26-84C1-957955B5B2DF	WA14529553	SE593000-193000	Högfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593000-193000	2010	Högfjärden_(59.47,19.44)	N	 	 	86921.98014	15	15 - Stockholms skärgård, yttre kustvatten	
27	Ormskärsfjärden sek namn	3	2	2006-12-31		15	593000-192000	SE3	SE593000-192000	SE3	SE	15	15	91464.88446	87730227.21	386.0	Polygon	SE1D43FAAC-E31F-4D4F-B611-B86036D4358E	WA80741734	SE593000-192000	Ormskärsfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593000-192000	2010	Ormskärsfjärden sek namn_(59.48,19.26)	N	 	 	91464.88446	15	15 - Stockholms skärgård, yttre kustvatten	
28	Gälnan	3	2	2006-12-31		12	593080-184500	SE3	SE593080-184500	SE3	SE	12n	12	99152.32632000001	53297738.37	388.0	Polygon	SE5724765A-D3C1-4DEB-9029-D0B2ED21FE0A	WA57569412	SE593080-184500	Gälnan	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE593080-184500	2010	Gälnan_(59.52,18.77)	N	 	 	99152.32632000001	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
29	Östra Saxarfjärden	3	2	2006-12-31		12	592790-183000	SE3	SE592790-183000	SE3	SE	12n	12	79050.81561	31128303.17	384.0	Polygon	SE66F4C832-FBB7-40B9-A41B-5E29E07E6B49	WA55658003	SE592790-183000	Östra Saxarfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592790-183000	2010	Östra Saxarfjärden_(59.46,18.51)	N	 	 	79050.81561	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
30	Björkskärsfjärden	3	2	2006-12-31		15	592000-190500	SE3	SE592000-190500	SE3	SE	15	15	184303.6118	222173197.0	359.0	Polygon	SE7BDADC6A-E638-4873-8202-D7AD561C3DC6	WA11973374	SE592000-190500	Björkskärsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592000-190500	2010	Björkskärsfjärden_(59.38,19.06)	N	 	 	184303.6118	15	15 - Stockholms skärgård, yttre kustvatten	
31	Gillögafjärden	3	2	2006-12-31		15	592500-191750	SE3	SE592500-191750	SE3	SE	15	15	81877.12599	88121532.64	375.0	Polygon	SED62C57CB-767C-4760-97FD-37BFC6B1EE29	WA73698062	SE592500-191750	Gillögafjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592500-191750	2010	Gillögafjärden_(59.41,19.3)	N	 	 	81877.12599	15	15 - Stockholms skärgård, yttre kustvatten	
32	Möja västerfjärd	3	2	2006-12-31		12	592500-185000	SE3	SE592500-185000	SE3	SE	12n	12	51178.53798	25807001.55	374.0	Polygon	SE45C46A2E-674D-41A7-8528-B24529A2E08C	WA72009678	SE592500-185000	Möja västerfjärd	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592500-185000	2010	Möja västerfjärd_(59.44,18.84)	N	 	 	51178.53798	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
33	Lindalssundet	3	2	2006-12-31		12	592547-182720	SE3	SE592547-182720	SE3	SE	12n	12	13576.15415	2674147.567	377.0	Polygon	SE0A5411D9-27D4-4A37-B879-520CF24A16CD	WA61049525	SE592547-182720	Lindalssundet	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592547-182720	2010	Lindalssundet_(59.42,18.45)	N	 	 	13576.15415	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
34	Skagsfjärden	3	2	2006-12-31		12	592400-184400	SE3	SE592400-184400	SE3	SE	12n	12	109661.3173	24515814.63	370.0	Polygon	SE13973294-5C44-46BC-AEC2-F6E753A3545F	WA44553969	SE592400-184400	Skagsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE592400-184400	2010	Skagsfjärden_(59.39,18.68)	N	 	 	109661.3173	12n	12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra	
